epoch,step,test_loss,test_ppl,train_loss,train_ppl,validate_loss,validate_ppl
0,490,,,,,2.72399640083313,14.199382781982422
0,490,,,2.8628973960876465,17.980186462402344,,
1,981,,,,,2.70790696144104,13.842400550842285
1,981,,,2.4593098163604736,10.873346328735352,,
2,1472,,,,,2.7359731197357178,14.234941482543945
2,1472,,,2.212904214859009,8.577385902404785,,
3,1963,,,,,2.774991512298584,14.845521926879883
3,1963,,,2.0194904804229736,7.128325939178467,,
4,2454,,,,,2.7998015880584717,15.057708740234375
4,2454,,,1.8861145973205566,6.27303409576416,,
5,2945,,,,,2.7998015880584717,15.057708740234375
5,2945,,,1.8304412364959717,5.947113037109375,,
6,3436,,,,,2.7998015880584717,15.057708740234375
6,3436,,,1.8304412364959717,5.947113037109375,,
7,3927,,,,,2.7998015880584717,15.057708740234375
7,3927,,,1.8304412364959717,5.947113037109375,,
8,4418,,,,,2.7998015880584717,15.057708740234375
8,4418,,,1.8304412364959717,5.947113037109375,,
9,4909,,,,,2.7998015880584717,15.057708740234375
9,4909,,,1.8304412364959717,5.947113037109375,,
10,4910,0.16015079617500305,1.2447718381881714,,,,
